index,Cpd,Formula,RT,Mass,CAS_ID,Source,Score,Algorithm,Source_Key,Common_names
2,3,C15H25NO4,10.803,283.1766,,FBF,80.38,FBF,bigmed,"['[(8S)-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-hydroxyethyl]-3-methylbutanoate', '1-[4-(1-hydroxy-2-methoxyethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '1-[4-(2-hydroxyethoxymethyl)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '1-[4-(2-methoxyethoxy)phenoxy]-3-(propan-2-ylamino)propan-2-ol', '[(8S)-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1S)-1-hydroxyethyl]-3-methylbutanoate']"
2503,2505,C53H82NO7P,17.976,875.5837,,FBF,80.12,FBF,bigmed,"['[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(5Z,8Z,11Z,14Z,17Z,20Z,23Z)-hexacosa-5,8,11,14,17,20,23-heptaenoxy]propan-2-yl] (4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoate', '[1-[2-aminoethoxy(hydroxy)phosphoryl]oxy-3-[(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoxy]propan-2-yl] (5Z,8Z,11Z,14Z,17Z,20Z,23Z)-hexacosa-5,8,11,14,17,20,23-heptaenoate']"
263,265,C18H30O2,8.804,278.2243,,FBF,94.49,FBF,large,"['(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid', '(6Z,9Z,12Z)-octadeca-6,9,12-trienoic acid', 'octadeca-9,12,15-trienoic acid', '(E)-octadec-11-en-9-ynoic acid', '(5Z,9Z,12Z)-octadeca-5,9,12-trienoic acid']"
3741,3744,C17H13NO3,5.037,279.0898,,FBF,89.54,FBF,large,"['2-(1,3-benzodioxol-5-yl)-1-methylquinolin-4-one', 'N-benzyl-2-oxochromene-3-carboxamide', 'N-(3-methylphenyl)-2-oxochromene-3-carboxamide', 'N-(4-methylphenyl)-2-oxochromene-3-carboxamide', '2-(1-oxo-1-phenylpropan-2-yl)isoindole-1,3-dione']"
3754,3757,C18H14O4,3.764,294.0878,,FBF,88.82,FBF,large,"['(2-methyl-4-oxo-3-phenylchromen-7-yl) acetate', '1-(4-methoxy-1-benzofuran-5-yl)-3-phenylpropane-1,3-dione', '(Z)-3-hydroxy-1-(4-methoxy-1-benzofuran-5-yl)-3-phenylprop-2-en-1-one', 'tetracyclo[6.6.2.02,7.09,14]hexadeca-2,4,6,9,11,13-hexaene-15,16-dicarboxylic acid', '2-[(3,4-dimethoxyphenyl)methylidene]indene-1,3-dione']"
1580,1582,C44H78O11,15.015,782.5578,,FBF,88.68,FBF,large,"['3,4,5-trihydroxy-6-[3-[(11Z,14Z)-icosa-11,14-dienoyl]oxy-2-pentadecanoyloxypropoxy]oxane-2-carboxylic acid', '6-[2-[(Z)-heptadec-9-enoyl]oxy-3-[(Z)-octadec-9-enoyl]oxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid', '6-[3-[(9Z,12Z)-hexadeca-9,12-dienoyl]oxy-2-nonadecanoyloxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid', '3,4,5-trihydroxy-6-[3-[(Z)-icos-11-enoyl]oxy-2-[(Z)-pentadec-9-enoyl]oxypropoxy]oxane-2-carboxylic acid', '6-[3-[(13Z,16Z)-docosa-13,16-dienoyl]oxy-2-tridecanoyloxypropoxy]-3,4,5-trihydroxyoxane-2-carboxylic acid']"
2033,2035,C36H68O6,15.82,596.5016,,FBF,88.3,FBF,large,"['2,3-di(undecanoyloxy)propyl undecanoate', '[(2S)-2-(10-methylundecanoyloxy)-3-octanoyloxypropyl] 10-methyldodecanoate', '[(2S)-1-dodecanoyloxy-3-octanoyloxypropan-2-yl] tridecanoate', '[(2S)-2-dodecanoyloxy-3-octanoyloxypropyl] 10-methyldodecanoate', '[(2S)-1-(10-methylundecanoyloxy)-3-octanoyloxypropan-2-yl] 11-methyldodecanoate']"
3356,3358,C6H9NO3,12.729,143.0579,,FBF,87.2,FBF,large,"['3,5,5-trimethyl-1,3-oxazolidine-2,4-dione', '2-methoxyethyl 2-cyanoacetate', '6-oxopiperidine-2-carboxylic acid', 'methyl (2S)-5-oxopyrrolidine-2-carboxylate', '1-methyl-5-oxopyrrolidine-3-carboxylic acid']"
2391,2393,C46H86NO8P,14.678,811.6097,,FBF,86.55,FBF,large,"['[(2R)-2-[(5Z,8Z,11Z)-icosa-5,8,11-trienoyl]oxy-3-octadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(2R)-2-[(8Z,11Z,14Z)-icosa-8,11,14-trienoyl]oxy-3-octadecanoyloxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(2R)-2-[(13Z,16Z)-docosa-13,16-dienoyl]oxy-3-[(Z)-hexadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(2R)-2-[(Z)-icos-11-enoyl]oxy-3-[(9Z,12Z)-octadeca-9,12-dienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate', '[(2R)-3-icosanoyloxy-2-[(6Z,9Z,12Z)-octadeca-6,9,12-trienoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate']"
2844,2846,C42H70O15P2,14.366,876.4194,,FBF,85.79,FBF,large,[]
1314,1316,C31H46O12S,12.651,642.2723,,FBF,85.63,FBF,large,"['4-acetyl-6-[2-methoxy-3-(3-methoxy-2,2-dimethyl-3-oxopropyl)sulfanylpropoxy]carbonylbenzene-1,3-dicarboxylic acid;butyl 2,2-dimethylbutanoate', 'benzyl 2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]-4-(3-methylsulfonyloxypropyl)benzoate', 'benzyl 3-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]-4-(3-methylsulfonyloxypropyl)benzoate', '3-[6-[(Z)-4-heptoxy-4-oxobut-2-enoyl]oxyhexoxycarbonyl]-5-(6-hydroxyhexoxycarbonyl)benzenesulfonic acid', 'methyl (2R,4S,5R,6R)-4-acetyloxy-2-(1-adamantylsulfanyl)-5-propan-2-yloxy-6-[(1R,2R)-1,2,3-triacetyloxypropyl]oxane-2-carboxylate']"
481,483,C24H38N2O,18.416,370.2971,,FBF,85.18,FBF,large,"['1-cyclohexyl-4-[3-(5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl)propyl]piperazine', '1-cyclohexyl-4-[3-[(1R)-5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl]propyl]piperazine', 'N-[2-(4-cyclohexylpiperidin-1-yl)ethyl]-5-methoxy-1,2,3,4-tetrahydronaphthalen-1-amine', '1-[3-[4-(4-pyrrolidin-1-ylcyclohexyl)phenoxy]propyl]piperidine', '2-(cyclohexylmethyl)-7-(3-piperidin-1-ylpropoxy)-3,4-dihydro-1H-isoquinoline']"
4083,4086,C37H75NO3,16.261,581.5771,,FBF,84.87,FBF,large,"['N-[(2S,3R)-1,3-dihydroxyoctadecan-2-yl]nonadecanamide', 'N-[(2S,3R)-1,3-dihydroxy-14-methylhexadecan-2-yl]icosanamide', 'N-(1,3-dihydroxyoctadecan-2-yl)nonadecanamide', 'N-(1,3-dihydroxyicosan-2-yl)heptadecanamide', 'N-[(2S,3R)-1,3-dihydroxy-15-methylhexadecan-2-yl]icosanamide']"
519,521,C20H37NO2,10.312,323.2816,,FBF,84.69,FBF,large,"['(9Z,12Z)-N-(2-hydroxyethyl)octadeca-9,12-dienamide', 'N-(2-hydroxyethyl)octadeca-9,12-dienamide', '(2R,5aS,9aS)-8,8-dibutyl-2-(hydroxymethyl)-9a-methyl-1,2,3,5,5a,6,7,9-octahydrobenzo[d]azepin-4-one', '(2S,5aS,9aS)-8,8-dibutyl-2-(hydroxymethyl)-9a-methyl-1,2,3,5,5a,6,7,9-octahydrobenzo[d]azepin-4-one', '(2E,4E)-N,N-diethyl-11-methoxy-3,7,11-trimethyldodeca-2,4-dienamide']"
3870,3873,C44H81NO5,22.909,703.6133,,FBF,84.35,FBF,large,"['[(9Z,12Z)-16-(1,3-dihydroxytetradecan-2-ylamino)-16-oxohexadeca-9,12-dienyl] (Z)-tetradec-9-enoate', '[(Z)-14-[[(E)-1,3-dihydroxypentadec-4-en-2-yl]amino]-14-oxotetradec-5-enyl] (Z)-pentadec-9-enoate', '(15Z,18Z)-2-hydroxy-N-[(8E,12E)-1,3,4-trihydroxytetradeca-8,12-dien-2-yl]triaconta-15,18-dienamide', '[(Z)-14-[[(E)-1,3-dihydroxyhexadec-4-en-2-yl]amino]-14-oxotetradec-5-enyl] (Z)-tetradec-9-enoate', '[13-[[(E)-1,3-dihydroxypentadec-4-en-2-yl]amino]-13-oxotridecyl] (9Z,12Z)-hexadeca-9,12-dienoate']"
26,27,C16H19NO4,16.52,289.1328,,FBF,84.22,FBF,large,"['(1R,2R,3S,5S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid', 'methyl (1R,2R,3S,5S)-3-benzoyloxy-8-azabicyclo[3.2.1]octane-2-carboxylate', '(1S,14S,15S,16S)-5-methoxy-9-azatetracyclo[7.6.1.02,7.012,16]hexadeca-2,4,6,12-tetraene-4,14,15-triol', '(2R,3S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylic acid', '(1S,15R,17S,18S,19R)-5,7-dioxa-12-azapentacyclo[10.6.1.02,10.04,8.015,19]nonadeca-2,4(8),9-triene-17,18-diol']"
3410,3412,C5H10N2O4,8.232,162.0636,,FBF,84.2,FBF,large,"['2-[(2-aminoacetyl)amino]-3-hydroxypropanoic acid', '2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]acetic acid', '(2S)-2-[(2-aminoacetyl)amino]-3-hydroxypropanoic acid', '2-[[(2S)-2-azaniumyl-3-hydroxypropanoyl]amino]acetate', '(2S)-2-amino-5-(hydroxyamino)-5-oxopentanoic acid']"
5012,5015,C47H72O2,19.117,668.5536,,FBF,83.4,FBF,large,"['2-methoxy-6-[(2E,6E,10E,14E,18E,22E,26E)-3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl]phenol', '(3S,4E,14S,21Z,27Z,44Z)-heptatetraconta-4,21,27,44-tetraen-1,12,15,46-tetrayne-3,14-diol', '(3S,4E,14S)-heptatetraconta-4,21,27,44-tetraen-1,12,15,46-tetrayne-3,14-diol', '[17-[(E)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] (4E,7E,10E,13E,16E)-nonadeca-4,7,10,13,16-pentaenoate', '[17-[(E)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] (7E,9Z,11Z,13E,15E)-octadeca-7,9,11,13,15-pentaenoate']"
31,32,C6H5NO2,13.093,123.0321,,FBF,83.1,FBF,large,"['pyridine-3-carboxylic acid', 'pyridine-2-carboxylic acid', 'nitrobenzene', 'pyridine-4-carboxylic acid', '4-nitrosophenol']"
4871,4874,C34H49NO10,22.883,631.3353,,FBF,82.3,FBF,large,"['7-[methyl-[(2S)-2-methyl-3-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxypropyl]amino]heptyl 3,4,5-trimethoxybenzoate', '[(2R)-2-methyl-3-[methyl-[7-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxyheptyl]amino]propyl] 3,4,5-trimethoxybenzoate', '[(2S)-2-methyl-3-[methyl-[7-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxyheptyl]amino]propyl] 3,4,5-trimethoxybenzoate', '7-[methyl-[(2R)-2-methyl-3-[(E)-3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxypropyl]amino]heptyl 3,4,5-trimethoxybenzoate', '[11-ethyl-5,14-dihydroxy-6,8,16,18-tetramethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] 4-methoxybenzoate']"
373,375,C15H28N2O4,7.998,300.2051,,FBF,81.98,FBF,large,"['(2R)-N-[(3S)-2,2-dimethyl-4-oxopentan-3-yl]-2-[[formyl(hydroxy)amino]methyl]hexanamide', 'ethyl (2S)-2-[[(3R)-3-amino-4-cyclohexyl-2-hydroxybutanoyl]amino]propanoate', 'ethyl (2S)-2-[[(2S,3R)-3-amino-4-cyclohexyl-2-hydroxybutanoyl]amino]propanoate', '2,2-dimethylpentylcarbamoyl N-cyclohexylcarbamoperoxoate', 'tert-butyl N-[(3S)-1,2-dioxo-1-(propan-2-ylamino)heptan-3-yl]carbamate']"
3342,3344,C12H15N4O2S,15.976,279.0909,,FBF,81.94,FBF,large,"['2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]acetic acid', '4-[4-(dimethylamino)pyridin-1-ium-1-yl]pyridine-3-sulfonamide', '1-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]-2-hydroxyethanone', '5-(1,3-dimethylimidazol-1-ium-2-yl)sulfanyl-N-methyl-2-nitroaniline', '3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-1,3-thiazol-3-ium-4-carbaldehyde']"
3645,3647,C4H10N2O,6.829,102.0789,,FBF,81.87,FBF,large,"['N,N-diethylnitrous amide', 'propan-2-ylurea', 'butanehydrazide', 'N-methyl-N-propylnitrous amide', 'propylurea']"
4718,4721,C21H36O,18.702,304.2774,,FBF,81.76,FBF,large,"['3-pentadecylphenol', '(2E,6Z,9Z)-2-methylicosa-2,6,9-trienal', '2-[(8S,9S,10S,13R,14S,17R)-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanol', '(3S,4R,4aS,8aS)-4-(3-methoxy-3-methylpent-4-enyl)-3,4,8,8a-tetramethyl-1,2,3,4a,5,6-hexahydronaphthalene', '(5Z,8Z,11Z,14Z)-1-methoxyicosa-5,8,11,14-tetraene']"
955,957,C32H64O4,21.325,512.4805,,FBF,81.62,FBF,large,"['15,16-dihydroxydotriacontanoic acid', '2,3-dihydroxypropyl nonacosanoate', '2-hydroxyethyl hexadecanoate;tetradecanal', '1,1-bis(decylperoxy)cyclododecane', '(1-hydroxy-3-octadecoxypropan-2-yl) undecanoate']"
405,407,C22H41N3O,22.078,363.3276,,FBF,81.48,FBF,large,"['(9E,12E,15E)-N-[2-(2-aminoethylamino)ethyl]octadeca-9,12,15-trienamide', '(2S,4R)-N,1-di(propan-2-yl)-4-[2-(2,6,6-trimethylcyclohexen-1-yl)ethylamino]pyrrolidine-2-carboxamide', 'N-[(3S)-1-cycloheptylpiperidin-3-yl]-2-(1-propylpiperidin-4-yl)acetamide', '4-amino-1-octadecylpyrimidin-2-one', '3-(2-azidoethyl)icos-3-en-2-one']"
372,374,C15H28N2O4,17.402,300.2044,,FBF,81.32,FBF,large,"['(2R)-N-[(3S)-2,2-dimethyl-4-oxopentan-3-yl]-2-[[formyl(hydroxy)amino]methyl]hexanamide', 'ethyl (2S)-2-[[(3R)-3-amino-4-cyclohexyl-2-hydroxybutanoyl]amino]propanoate', 'ethyl (2S)-2-[[(2S,3R)-3-amino-4-cyclohexyl-2-hydroxybutanoyl]amino]propanoate', '2,2-dimethylpentylcarbamoyl N-cyclohexylcarbamoperoxoate', 'tert-butyl N-[(3S)-1,2-dioxo-1-(propan-2-ylamino)heptan-3-yl]carbamate']"
3217,3219,C17H29O7P,10.182,376.1654,,FBF,81.15,FBF,large,"['ethyl (3aR,7aR)-7-diethoxyphosphoryloxy-7a-hydroxy-5-methyl-2,3,3a,4-tetrahydro-1H-indene-5-carboxylate', '[(2S)-3-[hydroxy(3-methylbut-3-enoxy)phosphoryl]oxy-2-(5-methylhexa-1,5-dien-2-yloxy)propyl] acetate', 'dibutyl 2-(4-hydroxy-3-methoxyphenoxy)ethyl phosphate', '2-(diethoxyphosphorylmethyl)-1,4-bis(2-methoxyethoxy)benzene', '[2,5-bis(2-methoxyethoxy)phenyl]methyl-butan-2-yloxyphosphinic acid']"
3472,3474,C11H17N3O8S,4.18,351.073,,FBF,80.99,FBF,large,"['(3S)-3-amino-4-[[(2S)-3-carboxy-1-[[(1R)-1-carboxy-2-sulfanylethyl]amino]-1-oxopropan-2-yl]amino]-4-oxobutanoic acid', '(2S)-2-[[(2S)-2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]-3-carboxypropanoyl]amino]butanedioic acid', '(2S)-2-[[(2R)-2-[[(2S)-2-amino-3-carboxypropanoyl]amino]-3-sulfanylpropanoyl]amino]butanedioic acid', '1-[(1R,5R,7R,8S)-8-hydroxy-5-(hydroxymethyl)-3,3-dioxo-6-oxa-3lambda6-thia-2-azabicyclo[3.2.1]octan-7-yl]-5-methylpyrimidine-2,4-dione;hydrate', '[(2R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl N-ethylsulfamate']"
1171,1173,C51H100O9,15.586,856.7339,,FBF,80.77,FBF,large,"['[(3S,4S,5R)-3,4-dihydroxy-1-[(2R,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]nonadecan-5-yl] hexacosanoate', '[1-tetracosoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] octadecanoate', '[1-heptadecoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] pentacosanoate', '[1-hexadecoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] hexacosanoate', '[1-pentadecoxy-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypropan-2-yl] heptacosanoate']"
3648,3650,C15H15NO3,2.362,257.1069,,FBF,80.65,FBF,large,"['2-[1-methyl-5-(4-methylbenzoyl)pyrrol-2-yl]acetic acid', '9-methoxy-2,2-dimethyl-6H-pyrano[3,2-c]quinolin-5-one', '4-methoxy-N-(4-methoxyphenyl)benzamide', '1-hydroxy-3-methoxy-1,2-dimethyl-9H-carbazol-4-one', 'N-(4-ethoxyphenyl)-2-hydroxybenzamide']"
2640,2642,C36H61O12P,14.756,716.3875,,FBF,80.47,FBF,large,[]
733,734,C14H20O2,9.271,220.146,,FBF,95.71,FBF,med,"['2,6-ditert-butylcyclohexa-2,5-diene-1,4-dione', '2,2,5,7,8-pentamethyl-3,4-dihydrochromen-6-ol', '2-phenylethyl hexanoate', '(2-methyl-1-phenylpropan-2-yl) butanoate', 'hexyl 2-phenylacetate']"
857,858,C27H51NO,11.767,405.3959,,FBF,95.64,FBF,med,"['(E)-1-(azocan-1-yl)icos-2-en-1-one', '1-[2-(methylamino)-2-adamantyl]hexadecan-2-ol', '1-pyrrolidin-1-yltricos-16-en-1-one', '(Z)-N-cyclooctyl-N-methyloctadec-9-enamide', '(Z)-N-cyclohexyl-N-propan-2-yloctadec-9-enamide']"
1468,1469,C33H66,18.133,462.516,,FBF,95.63,FBF,med,"['tritriacont-1-ene', '(Z)-tritriacont-9-ene', '(Z)-tritriacont-10-ene', 'heptacosylcyclohexane', 'tritriacont-9-ene']"
6637,6641,C32H63NO2,11.871,493.4851,,FBF,95.34,FBF,med,"['N-hexadecyl-2-oxohexadecanamide', '(2R)-N,N-dimethyl-1-[(10E,13E)-nonadeca-10,13-dienoxy]-3-octoxypropan-2-amine', '2-(1,2,2,6,6-pentamethylpiperidin-4-yl)docosanoic acid', 'N-hexadecanoylhexadecanamide', '3-oxo-2-tetradecyloctadecanamide']"
849,850,C24H49NO,17.821,367.3819,,FBF,94.8,FBF,med,"['N,N-dibutylhexadecanamide', 'tetracosanamide', 'N,N-bis(2-ethylhexyl)octanamide', 'N-dodecyldodecanamide', 'N-hexyloctadecanamide']"
